title,directions,PrepTime,Difficulty
Good Sweet Muffins,"Heat oven to 400.  Beat egg with fork.  Add remaining ingredients except blueberries and stir until flour is moistened. Batter should be lumpy.  Add blueberries, if desired.  Fill muffin cups 2/3 full.  Bake 20 to 25 minutes.  Serve warm.",120,3
Vanilla Creme Dessert,Mix flour and melted margarine.  Pat mixture in 9 x 13-inch baking pan.  Bake at 375 for 10 minutes.  Let cool.,25,4
St. Joseph's Zeppole,"Combine water, butter, sugar and salt in saucepan and bring to a boil.  Add flour all at once, then beat with a wooden spoon for 1 minute or until mixture leaves sides of pan and forms a ball. Cool mixture.  Add eggs one at a time, beating after each egg, until mixture has satin-like sheen.  Use pastry bag with large star tip and fill with mixture.  Make doughnut shape with pastry bag on greased cookie sheet.  Bake in 400 oven for 20 minutes or until puffed and well browned.  Cool.  Slice each zeppole in half and fill with the following filling.",45,4
"Corn ""Oysters""",Mix and let stand several hours or overnight.  Drop by teaspoon in hot vegetable oil and fry until brown on both sides.,45,4
Bright Party Beans,"Fry ground beef and dry onions.  Add salt and pepper and chili powder.  When browned, combine in large pan or roasting pan.  Add all ingredients including juices.  This will look like it's watery.  Bake at 270 to 300 for 4 hours.  Do not stir during that time.",25,2
Apricot Dessert,"Mix cornstarch and sugar.  Add nectar and cook, bringing to a boil.  Stir constantly and cook until thickened.  Cool slightly.",75,4
Honey Almond Squares,Bake cake as directed on package in 13 x 9-inch pan. Cool. Whip cream cheese until smooth. Add honey. Spread mixture over cake. Sprinkle with almonds. Store in refrigerator.,30,4
Chicken Casserole,Mix all together; pour into a 7 x 12-inch casserole.  Sprinkle with pepper and paprika.  Bake approximately 1 hour and 15 minutes at 350.,100,1
Artichoke Dip,"Mix all ingredients. Pour into a 9 x 13-inch pan. Bake in preheated 350 oven, uncovered, for 30 minutes. Serve hot with crackers.",25,5
French Onion Soup,"Heat butter in heavy kettle.  Add sliced onions; brown well, stirring constantly.  Add beef and chicken stock, the Worcestershire sauce, bay leaf, garlic salt and pepper.  Allow to simmer for 40 minutes.  Remove the bay leaf; add salt.  Prepare with a slice of toasted French bread (1/2-inch thick).  Add a thick slice of Swiss cheese (1/4-inch thick), overlapping the bowl.  Put under the broiler until cheese is melted and bubbly.",100,5
Apple Pie,Put in unbaked pie shell.  Top apples with 2 tablespoons margarine with crust.  Brush milk on top of crust and sprinkle with sugar.  Bake on bottom shelf at 400 for 45 minutes.,150,3
Sloppy Joes,Brown and drain hamburger.  Add the remaining ingredients and simmer for 20 minutes.,30,1
7-Up Cake,"Mix sugar and butter thoroughly, then add egg, flour, egg, flour, etc. until all eggs and flour are mixed thoroughly, either with hand mixer or electric beater/mixer.  Then add lemon flavor and your 7-Up (the 7-Up will make the cake rise); add yellow food coloring which is optional.  Bake at 325 to 350 for 45 minutes to 1 hour, depending on oven.  Insert toothpick after 45 minutes. Cook in Bundt pan. Let cool 25 minutes.  Cake is done.",120,3
Corned Beef Dip,Mix ingredients together until they are completely blended.,30,4
Chocolate Pie,Mix dry ingredients; add milk.  Beat in egg yolks.  Pour on 1 cup boiling water.  Mix and cook until thick.  Cool.  Pour in baked pie shell.  Cover with meringue and brown in oven.,25,3
Tater Tot Casserole,"Spread Tater Tots in large cake pan, 9 x 13-inch. Brown meat and onions; drain well.  Pour meat mixture over Tater Tots. Mix all 3 soups in a bowl.  Pour over meat and Tater Tots. Sprinkle grated cheese to cover soup.  Bake at 325 for 1 hour.  As you brown meat and onions, salt and pepper well.",45,5
Blackberry Pie,"Combine sugar, cornstarch and water in a heavy saucepan; cook over medium heat, stirring constantly, until thickened.  Remove from heat; add gelatin, stirring until dissolved.  Gently stir in blackberries.  Pour into pastry shell.  Chill until firm.  Serve with Cool Whip or ice cream.  Easy and so tasty.",120,5
Caramel Pie,"Mix Cool Whip, softened cream cheese and Eagle Brand milk. Beat for 1 minute.  Pour in pie crusts.  Melt margarine and mix with coconut and almonds.  Place on cookie sheet and cook for 10 minutes at 350.  Watch closely and stir often.  (I like mine toasty.)  Pour coconut, almond mixture over top of pies.  Pour caramel topping over the 3 pies.  Freeze.",45,3
Dill Dip,"Mix all ingredients together.  Let sit in refrigerator several hours before serving.  Serve with raw cauliflower, broccoli, carrots, celery, mushrooms and cherry tomatoes.",100,5
Broccoli Cornbread,"Fry onion in oil.  Set aside.  Cook broccoli as directed. Drain and set aside.  Melt oleo.  Grease 8 x 8-inch pan.  Mix cornbread mix and eggs.  Add cottage cheese, broccoli, onions and melted oleo margarine.  Stir well.  Pour into pan and bake at 450 for 20 to 25 minutes.",45,4
Vegetable Soup,"Slice the vegetables.  Cook in small amount of water until tender.  Add the cooked macaroni, green beans and peas.  Add bay leaf and Italian seasoning.  Cook beef or turkey until it changes color.  Add to vegetables.  Pour in tomato juice.  Bring to boil. Reduce to simmer.  If soup is too thick, add more tomato juice.",45,1
Chocolate Peanut Butter Cake,"In saucepan, melt oleo; add cocoa.  Combine remaining ingredients and add oleo-cocoa mixture.  Bake in 9 x 13-inch pan for 30 minutes at 350.  While still hot, punch holes in cake. Spread on cake, 1/2 cup peanut butter mixed with 1 1/2 tsp. oil.",75,3
Magic Cookie Bars,"Preheat oven to 350 (325 for glass dish).  In 13 x 9-inch pan, melt butter in oven.  Sprinkle with crumbs.  Top with Eagle Brand milk evenly.  Top with remaining ingredients.  Press down. Bake 25 to 30 minutes until lightly brown.  Cool or chill.  Cut into bars; store, loosely covered, at room temperature.",25,3
Pecan Pralines,"Combine sugars and evaporated milk in heavy saucepan. Cook over medium heat. Stir in butter, pecans and coconut. Cook until candy reaches soft ball stage. (Mixture will form a soft ball when dropped in a cup of cold water.)  Cool 2 minutes. Beat until thick, but glossy.  Drop by tablespoon onto wax paper. Cool thoroughly.",120,4
"Chocolate ""Stuff""","Make pudding as directed on package, then add vanilla wafers. Smooth on Cool Whip and sprinkle with pecans.",100,1
Easy Chocolate Frosting,"Bring sugar, butter and milk to a boil and boil 1 minute. Remove from stove and add chocolate chips and vanilla and beat. (Might need about 1/2 cup powdered sugar.)",100,3
No Bake Pumpkin Pie,"Combine gelatine, spices, condensed milk and eggs on low heat until gelatine dissolves (10 minutes). Remove from heat. Stir in pumpkin.  Pour in baked pie shells, then chill 3 hours. Garnish with Cool Whip and chopped pecans.",100,1
Baked French Toast,Mix all well in medium bowl and cut one 16 ounce loaf of Italian bread into 1-inch slices. Dip bread into mixture and put into large glass baking dish. Pour any remaining mixture over bread. Refrigerate overnight.,75,1
Puppy Chow,"Pour cereal into a very large bowl.  In a 1-quart bowl, combine chips, peanut butter and margarine; microwave on High for 1 to 1 1/2 minutes until smooth.  (Stir after 1 minute.)  Pour chocolate mixture over cereal, stirring all pieces until all are coated.  Then little by little, add the powdered sugar.  Stir well each time the powdered sugar is added.  May not need entire box of powdered sugar.",150,2
Tamale Casserole,"Preheat oven to 350.  Peel wrappers off tamales and chop in large bowl.  Drain hominy, olives and peppers.  Add them to tamales.  Mix well.  Place in 9 x 13 x 3-inch baking dish.  Spread out evenly.  Sprinkle cheese over top and olives if desired.  Bake 20 to 30 minutes.  Serves 8.  Serve with Spanish rice and corn chips.",45,2
Taco Dip,Layer the above ingredients in a 9 x 13 inch dish.  Press down with spatula.  Serve with Doritos.,30,2
Bonnie's Bread,Can use dehydrated potato flakes.  Add flour as desired. Dough should be soft and elastic.  Bake as rolls or bread at 350. Bread is done when it sounds hollow when tapped.,75,4
Chicken Pot Pie,Combine the first five ingredients and place in a 9 x 12-inch casserole dish.  Mix next four ingredients and pour over top of chicken mixture.  Do not stir.  Bake at 425 for 45 minutes to one hour until crust rises and browns.,45,2
Smoked Turkey Risotto,"In medium-size saucepan, bring the stock to a boil over medium heat.  Lower the heat, add the artichoke hearts, cover and simmer for about 10 minutes or until tender.  With a slotted spoon, transfer the artichoke hearts to a bowl and cover to keep warm.",50,3
Eggplant Spaghetti Sauce,"Heat oil in large pot.  Add all the vegetables and the garlic. Saute over medium heat for 15 minutes stirring frequently.  Add tomatoes and tomato sauce and all the seasonings.  Bring to a boil and then reduce heat.  Cover and simmer for 3 to 4 hours.  During the last hour of cooking, add the wine.",45,5
Watergate Cake,"Combine box cake mix, oil, instant pudding, ginger ale, eggs, and pecans.  Pour into a 13 x 9-inch pan that has been greased and floured.  Bake at 350 for 30 minutes. Cool and add topping when ready to serve. For topping the cake, mix cool whip, milk and pistachio instant pudding mix. Pour over cake and let set.",75,2
Plum Muffins,Mix all ingredients together.  Drop into greased muffin tins. Bake at 325 for 15 to 20 minutes or until done.,120,5
Cranberry Punch,Mix and put in punch bowl.  Top with sherbert.,30,5
Sweet Potato Pie,"With mixer, cream potatoes, butter and sugar until smooth and creamy.  Watch out for strings in potatoes.  Add eggs, one at a time.  Mix after each egg.  Add seasoning, then milk.  Pour into unbaked pie shell.  Bake at 350 for 45 minutes.",75,2
Butternut Pound Cake,"Cream sugar and Crisco well.  Add eggs, one at a time.  Beat well.  Add flour and milk alternately on medium.  Last, add flavors.  Beat 2 minutes.  Heat oven to 325.  Pour batter into greased and floured cake pan.  Bake for 1 hour.",150,4
Morning Glory Muffins,"Combine first 5 ingredients in a large mixing bowl; stir in carrots and next 4 ingredients.  Make a well in center of mixture. Combine vegetable oil and remaining ingredients.  Add to flour mixture, stirring until moistened.  Place paper baking cups in muffin pans.  Spoon batter into paper cups, filling 2/3 full. Bake at 350 for 25 minutes or until golden brown.  Remove from pans immediately.  Makes 22 muffins.",50,2
Chicken Breasts With Wild Rice,"Combine first 5 ingredients together.  Pour into greased 9 x 13-inch microwave dish.  Lay chicken breasts on top of rice mixture, with heavy side of breasts at corners of the dish.  Brush with melted butter or margarine and sprinkle evenly with cornflake crumbs.",45,1
Creole Green Beans,"Saute green pepper and onion in hot bacon drippings until tender. Add flour, salt, sugar and paprika.  Stir until blended. Add tomatoes and simmer for about 15 minutes.  Stir in green peas; heat through and serve.",150,1
Banana Bread,"Mix eggs, bananas, butter and sugar in blender or food processor.  Mix remaining ingredients.  Add the two mixtures together.  Pour in greased pan and bake at 350 for 45 minutes.",25,5
Corned Beef Hash Swirls,"Make dough according to Bisquick directions on box.  Roll out until about 1 inch thick.  (Shape, as you roll out into an oblong shape.)  Thinly spread with a knife, mustard on top of dough. Then, salt and pepper lightly or to taste.  Spread corned beef hash on top of the mustard, salt and pepper.  Then, lengthwise, roll up securely and pan freeze.  When frozen, take out and with a sharp knife, cut roll into 3/4 to 1 inch slices.  Bake in moderate oven at approximately 350 for 15 or 20 minutes or freeze, individually and reheat frozen for a longer period of time.  Whether you serve right away or serve after being frozen, pour on top either a cream cheese sauce or a sauce made of 1 can of cream of celery soup, adding a little water.  A good lunch!!",100,5
Patio Potatoes,Mix all together and put in greased 9 x 13-inch casserole dish.  Top with 2 cups corn flakes (crushed) and mixed with 1/2 cup melted margarine.  Bake at 350 for 45 minutes.,150,3
Sky High Biscuits,Combine dry ingredients.  Cut in butter as you would for pie crust.  Add milk and egg quickly and stir briefly.  Knead for a few minutes.  Roll to 1-inch thickness.  Cut into biscuits.  Bake at 450 for 12 to 15 minutes on greased cookie sheets.,150,2
Lasagne,In a large skillet brown the hamburger.  Drain the fat.  Stir in the jar of spaghetti sauce.  Heat until warm.  In a 3 to 4-quart saucepan fill to about an inch below the rim with water. Bring to a boil and add noodles.  Cook until soft.  In a large baking pan (8 x 10-inch or bigger) cover the bottom with 4 noodles.  Smother with Mozzarella (and Ricotta if you have it) and start your next layer of noodles.  Bake in oven at 350 until cheese is melted.,50,5
German Potato Salad,"Boil the potatoes until done.  Peel and slice while still warm.  Stir while pouring on the vinegar and hot grease.  Garnish with the bacon and chopped parsley, if available.  Sprinkle with sugar if too tart due to the vinegar.",120,2
Coconut Pie,"Mix flour, sugar and coconut in a bowl.  Beat eggs and add milk, butter and flavoring. Then add dry ingredients.  Pour into well greased pie plate and bake at 350 for 45 minutes to 1 hour or until golden brown.  This pie makes its own crust.",50,1
Bullets,Mix together ground beef with salt and pepper and enough flour to hold meat together.  Roll into meat balls. Roll meat balls in more flour to coat. Drop meat balls into boiling water and cook. It will make its own gravy.  Serve over rice or mashed potatoes. May add more seasoning to taste as these are very bland.,100,2
Mom's Pancakes,"Sift flour with baking powder, salt and sugar into a medium bowl.  With rotary beater, beat egg.  Add milk and butter; beat until well mixed.  Pour this into dry ingredients; beat only until combined.  Batter will be lumpy.",45,5
Pecan Kisses,Beat egg white until stiff.  Add sugar and vanilla; mix well. Dip 2 or 3 pecans at a time.  Place on ungreased baking sheet. Bake at 250 for 30 minutes.  Leave in oven for 30 more minutes with the oven turned off.,25,4
Pizza Casserole,"Brown beef; stir to crumble.  Drain.  Put beef into 8-inch baking dish.  Top with sauce, Mozzarella cheese and sliced mushrooms.  Combine the biscuit mix, milk and eggs; beat until smooth, then evenly pour over casserole.  Bake at 400 for 30 to 35 minutes.",45,2
Chocolate Lover's No-Bake Brownies,"Melt chocolate chips over hot (not boiling) water; stir until smooth.  Add sweetened condensed milk, chocolate wafer crumbs and one-half cup of nuts; stir until well blended.  Press into foil-lined 8-inch square pan.  Press remaining 1/2 cup of nuts into top of brownies.  Let stand at room temperature until firm. Cut into 2-inch squares.",75,1
Broccoli Casserole,Cook broccoli according to directions on package.  Drain. Arrange in dish.  Combine other ingredients and cover broccoli. Sprinkle with grated cheese or crushed Ritz crackers.  Bake at 350 for 40 minutes.,25,5
Fruit Bars,"Heat oven to 350.  Mix flour, sugar, baking powder, salt, almond extract and eggs.  Stir in remaining ingredients.  Spread dough in greased pan (13 x 9 x 2-inch).  Bake until light brown, 30 to 35 minutes.",75,1
Chinese Hamburger,"Brown hamburger. Add onion and celery until transparent; drain. Add soups, water, rice, soy sauce and pepper. Transfer to a casserole dish. Bake at 350 for 20 minutes. Top with chow mein noodles and cook for 10 minutes more.",50,3
Almond Roco,"Cook until hard ball stage in cold water.  Add 1/2 cup chopped almonds and cook until it reaches cracked candy stage, 300, on candy thermometer.  Melt the 3 chocolate candy bars and pour on top and sprinkle chopped almonds.",120,4
Hungarian-Stuffed Peppers,"Prepare peppers (remove white sections).  Mix ground beef, rice, egg and seasoning.  Fill peppers; place in deep cooking vessel.  Cover with V-8.  Cook for 1 hour at 350.",120,3
Lemon Pudding Pound Cake,"Beat eggs.  Add cake mix, pudding, water and oil.  Beat at medium speed for 10 minutes.  Pour into an ungreased 10-inch tube pan with removable bottom.  Bake at 350 about 50 minutes.  Cool slightly and remove from pan.",50,3
Peanut Butter Cup Cookies,"Cream butter, peanut butter, brown sugar and white sugar.  Beat in egg and vanilla.  Sift flour, baking soda and salt.  Add flour mixture to creamed mixture.  Shape into 1-inch balls.  Spray miniature muffin pans with nonstick spray and place balls of dough in pans.  Do not spread dough in cups.  Bake at 350 for 8 to 10 minutes or lightly browned.  Remove from heat and immediately press peanut butter cup into each cookie until only top shows.  Let cool in tins for 10 to 15 minutes.  These freeze well.  Makes about 4 dozen.",30,5
Egg Cheese Souffle,"In greased baking dish, place croutons and Velveeta.  Mix eggs, milk, mustard, salt, onion powder and pepper.  Pour on top of cheese.  Place crumbled bacon on top.  Bake at 325 for 50 minutes.",75,2
Apple Bread,"Cream butter and sugar until fluffy.  Beat in egg.  Stir together flour, salt, baking soda, cinnamon, nutmeg, cloves, raisins and pecans.  Add to sugar mixture alternately with applesauce.  Pour into greased 9 x 5 x 3-inch loaf pan.  Bake in 325 oven for 1 hour or until knife inserted in center comes out clean.",75,3
Homemade Noodles,Stir together.  Roll out as thin as you can on floured surface (use lots of flour).  Roll up and slice whatever width you want. Gently toss to unroll.  Drop in your favorite boiling broth. Gently boil about 8 minutes.  These can be frozen by spreading noodles out on floured cookie sheet.  Put in freezer until firm. Then store in freezer bags.,150,4
Chocolate Fudge,"Combine margarine, milk and sugar in Dutch oven.  Place over medium  heat  until  sugar\tis dissolved.  Heat slowly to boiling. Cover and boil 5 minutes.\tTurn off heat if electric stove.  If gas  stove,  turn  warmer  as low as possible.  Add marshmallows. Stir  until  dissolved.  Add each of chocolate, one at a  time. Stir  until  melted.  Add  vanilla\tand nuts. Pour into 15 x 10 x 1-inch pan.  Cut when firm.  Makes about 5 pounds.",100,1
Fruit Cake,"Beat eggs; stir in sugar.  Sift flour, baking powder and salt. Combine with chocolate chips, nuts and cherries.  Fold in egg-sugar mixture.  Pour into well-greased and floured loaf pans. Place pan of water on bottom rack of oven and loaf pans on top rack.  Bake at 325 for 1 to 1 1/2 hours.",75,2
Cranberry Scones,"Combine softened butter or margarine, confectioners sugar and orange peel in a small bowl; blend well.",100,3
Brownie Pie,"Place flour, cocoa and sugar in a large mixing bowl.  Stir to mix well.  Add eggs, margarine, salt and vanilla.  Beat with a whisk for about 4 minutes.  Stir in nuts.  Pour into a greased 8-inch pie pan and bake in preheated 325 oven until done, about 30 to 40 minutes.  Pie will puff up and then settle down.  Serve slightly warm with ice cream or whipped cream.  Makes 8 servings.",25,3
Cream Puff Dessert,"Boil water and margarine.  Then add flour.  Let cook; then add eggs one at a time.  Spread in a 9 x 13-inch pan, sprayed with Pam.  Bake at 350 for 35 minutes until brown.  Cool.  Mix instant pudding, milk and softened cream cheese.  Spread on crust and top with Cool Whip.  Drizzle with chocolate syrup.  Chill 6 hours prior to serving.",45,5
Chantilly Low-Fat,Line strainer with a double layer of cheesecloth.  Place yogurt in the center and let drain for 1 hour.  Place mandarin juice in a small pan and bring to a boil.  Reduce heat and simmer for about 20 minutes until a very thick syrup remains.  There should be about 2 tablespoons of syrup.  Reserve.  Whip the cream in a bowl with an electric mixture until it holds soft peaks.  Place the drained yogurt in a bowl and stir in the mandarin syrup.  Gently fold in the whipping cream with a rubber spatula.  Makes 1 cup.,25,3
Golf Balls,"Beat all ingredients together except peanut butter until mixture is very smooth, then add peanut butter and beat until smooth and well blended.  Roll into balls and roll in sifted powdered sugar.  Refrigerate.  Makes about 100.",75,3
Crispy Herb Bread,"In a small bowl, combine oil and garlic powder. Brush over the bread. Mix together thyme, marjoram, paprika and grated cheese. Place bread halves on a baking sheet; sprinkle with cheese and herb mixture. Bake in 425 oven for 7 to 9 minutes, until lightly browned. Cut each half into 5 slices.",45,5
Festive Fruit Salad,"Combine pineapple, oranges, grapes, strawberries and apples. Sprinkle with lemon juice.  Add marshmallows and chill.",25,5
Fresh Strawberry Pie,"Cut up 1 cup strawberries.  Add water.  Cook for 2 minutes. Mix sugar and starch and add to fruit mixture.  Cook until thick and clear.  Add butter, lemon juice and salt; cool.  Arrange berries in prepared pie crust.  Top with cooked mixture.  Chill at least 2 hours.  Top with whipped cream and strawberry.",75,2
Egg Custard,Preheat oven to 400.  Bake empty pie shell 5 minutes.  Remove from oven; set aside.,100,1
Chicken Giblet Gravy,Mix first 4 ingredients in saucepan and bring to boil.  Reduce to low-medium heat and add flour-water mixture.  Let simmer 5 to 10 minutes over low heat.,25,1
Beef Brisket,"Mix catsup, water, onion, vinegar, horseradish, mustard, salt and pepper.  Place brisket, fat side up, in shallow dish.  Cover and refrigerate several hours or overnight.  Roast in a preheated oven at 300 until tender (3 1/2 to 4 hours).  Slice against the grain and serve with sauce.",120,1
Fruit Medley,"Allow tapioca, 1 cup water and sugar to stand 5 minutes, then cook until clear.  Add 1 1/2 cups water, orange juice, oranges and peaches.  Chill well, even overnight.  Before serving, add strawberries and bananas.  (Add fruit early enough to allow flavors to blend.)  Top with lime sherbet in fruit or sauce dishes.  Serves 8.",100,2
Nana's Cornbread(For 9-Inch Iron Skillet Or 8 X 8-Inch Pan)  ,Stir 1/2 teaspoon baking soda into 1 cup buttermilk.  Melt 1/4 cup bacon fat into pan you are using in the oven you are preheating.  Mix ingredients.  Bake at 425 for 20 to 25 minutes or until golden brown.,25,4
Marinated Pork Roast,"Combine all ingredients except roast.  Place roast in plastic bag and set in deep bowl.  Pour in marinade and close bag tightly. Let stand 2 to 3 hours at room temperature or overnight in refrigerator.  Occasionally press bag against meat to distribute marinade.  Remove meat.  Roast, uncovered, at 325 for 3 hours. Baste with marinade the last hour.",50,2
Dad's Chili,Fry pork in oil in saucepan over medium heat.  Add minced garlic to pork.  Dice green chilies and sprinkle with garlic salt. Drain meat.  Add 3 cups of water.  Add green chilies and diced tomatoes; add with garlic salt.  Mix cornstarch to remaining cup of water.  Then add to mixture.  Salt to taste.  Cook at medium heat.,120,5
Spoon Rolls,"Dissolve yeast in warm water.  Mix with other ingredients.  To bake, spoon batter into well-greased muffin tin about 2/3 full. Bake at 425 for 20 minutes or until golden brown. Will keep in refrigerator for 2 weeks if sealed in Tupperware bowl.",75,1
Chicago Crunchy Chocolate Chip Cookies,"Sift flour, baking soda and salt onto wax paper.  Preheat oven to moderate (350).  Beat butter, margarine, brown sugar, granulated sugar, egg, milk and vanilla in a bowl until well blended.",100,3
Salad Dressing,Place in blender until smooth.,45,1
Leroy's Heavenly Hash,Mix in a large bowl.  Refrigerate and serve cold.,120,3
Banana Cream Pie,"Whisk together the milk, cream and egg yolks.  Combine the sugar and cornstarch in heavy saucepan.  Whisk in the yolk mixture and cook over medium heat, stirring occasionally, for 5 minutes. Then stir the mixture constantly until it comes to a boil, about 7 minutes more.  Boil, stirring, 1 minute.  Remove the saucepan from heat and stir in the vanilla, butter and bananas.  Pour into baked pie shell and smooth top.  Finish with meringue or whipped cream topping.",25,5
Marinated Onions And Blue Cheese,"Mix olive oil, lemon juice, salt, pepper and sugar.  Add Blue cheese and onions.",30,5
Cheese Cake,"Grease a spring-form pan (you can use a 13 x 9-inch pan) and pat mixture of graham cracker crumbs, butter, cinnamon and 1/4 cup sugar in bottom and a little up the sides of the pan.",45,4
Carrot Bread,Mix all ingredients in order.  Bake in greased loaf pan for 1 hour at 350.,50,5
Mistletoe Punch,"Combine all ingredients, except ginger ale and garnish, in a punch bowl.  Just before serving, add some ice cubes and stir in the ginger ale.  Put lemon slice and a cherry in each cup.  Serves 30.",30,2
Mixed Vegetable Casserole,Mix first 5 ingredients.  Pour into casserole and top with crackers mixed with margarine.  Bake at 350 for 30 minutes.,75,3
Cheeseburger Crescent Bake(1 Hour)  ,"Press crescent rolls in 13 x 9-inch pan, forming crust 1/2-inch up edge.  Brown hamburger in skillet with onion.  Drain grease.  Remove from heat and stir in remaining ingredients. Spread over crescent rolls.  Bake 20 to 25 minutes at 350.  Kids love this!",25,4
Do-Unkles Pumpkin Cake,Combine all ingredients together.  Mix at medium speed for 3 minutes.  Pour into a 9 x 13-inch pan.  Bake at 325 for 45 minutes.  Frost with cream cheese frosting or your favorite.,150,3
Colonial Cheese Biscuits,"These pancakes are as big as a dinner plate and formerly even bigger (12-inches in diameter!).  Nowadays you may find such big pancakes on the menu of a restaurant, but at home, we make them the dinner plate size.  They are either eaten as a savory (with smoked sausage or bacon) or as a sweet (plain with molasses or golden syrup or with apples).  Pancakes are best when made with yeast and they should be served piping hot.  Use two skillets when available. Keep the pancakes hot on steam, or covered in the oven.  Cold pancakes are awful!  The following recipe is a luxury one, for special occasions, as many eggs are used in preparing (instead of yeast).",150,5
Simple Salsa Dip,Mix it all together and microwave until cheese melts.  Goes good with tortilla chips.,100,4
Any Flavor Pan Dessert,Mix the first 4 ingredients and press into a 9 x 13-inch pan. Bake 8 to 10 minutes at 350.  Combine 1 cup whipped topping with cream cheese and powdered sugar.  Spread on top of baked layer and chill.  Mix pudding with milk and spread over second layer.  Chill 15 minutes before spreading the remaining whipped topping over the pudding.  Serves 16.,120,5
Mexican Casserole,"In 9 X 13 dish spree fritos or doritos to cover well.  Brown and mix hamburger and onion.  Add rotel, soups and milk.  Pour over chips, cover with cheese and bake at 350 degrees until bubbly (25 to 30 minutes).",30,5
Apple Sour Cream Coffee Cake,"Combine flour, soda and salt. In another bowl, cream butter and 1 cup sugar until fluffy. Add eggs and vanilla; mix well. Blend in flour mix, alternating with sour cream. In another bowl, mix together apples, cinnamon, 1/2 cup sugar and nuts. Spread half the batter in a greased 9-inch tube or Bundt pan. Sprinkle half the cinnamon-apple mix over the batter. Spoon in the rest of the batter and sprinkle on the rest of the cinnamon-apple mix. Bake at 375 for 40 to 50 minutes. Cool 10 minutes before removing from pan.",50,4
Snickerdoodles,"Preheat oven to 350.  Beat with an electric mixer, the sugar, margarine, shortening and eggs in a large mixing bowl.  Put flour, cream of tartar, baking soda and salt into flour sifter and add to the sugar mixture.  Stir until flour disappears.  Shape dough by rounding teaspoonfuls into balls.  Mix 2 teaspoons sugar and 2 teaspoons cinnamon; roll each ball in cinnamon sugar mixture. Place about 2 inches apart on cookie sheet.  Bake until set, about 8 to 10 minutes.",25,5
Spaghetti Salad,"In a saucepan, cook spaghetti until tender.  Drain and cool. In a large bowl, combine all ingredients and stir.",45,1
Spanish Meat Balls,"Mix well the first 9 ingredients; shape into small balls.  Put into a large greased casserole.  Heat soup, water and remaining chili powder; pour over meat balls.  Bake, covered, at 375 for 2 hours.  Yields 6 servings.",75,3
Broccoli Cornbread,Combine cornbread mix and margarine in a large bowl and mix together.  Add remaining ingredients; blend well.  Pour into an ungreased 9 x 13 baking pan.  Bake at 400 for 20 to 25 minutes or until golden brown.,25,2
Fried Onion Rings,Cut onions into 1/2-inch slices; separate rings. Place in a bowl; cover with ice water and let soak for 30 minutes.,75,5
Mayonnaise Rolls,"Mix well, fill muffin pans 1/3 full.  Bake at 400 until brown.  Makes about 6 rolls.",120,3
Cheeseburger Loaf,"Preheat oven to 350.  Combine all ingredients except cheese in bowl and mix thoroughly.  Lightly grease a loaf pan.  Put 1/3 of meat mixture in the bottom of pan and spread evenly.  Put 1/2 cup cheese on top (keep cheese away from the edge of the pan to prevent burning or sticking).  Repeat layers (1/3 meat, 1/2 cup cheese, 1/3 meat).  Bake 1 hour.  Let stand 10 to 15 minutes before removing to a platter to slice.  Yield:  6 servings. Preparation time: 30 minutes.",50,1
One Bowl Chocolate Fudge(Microwave)  ,"Microwave chocolate and milk in 1 1/2-quart microwavable bowl on High 1 minute; stir well.  Microwave 1 minute longer. Stir until chocolate is completely melted and smooth.  Stir in vanilla, salt and walnuts.  Spread into greased 9 x 5-inch loaf pan. Refrigerate 30 minutes or until firm.  Cut into squares.",25,4
Ranch Style Baked Beans Casserole,Brown meat in margarine; stir in remaining ingredients.  Pour into bean pot or 2-quart casserole (cool and freeze if desired.) Bake at 400 for 30 minutes.  Makes 10 to 12 servings.,50,4
Etta's Hungarian Coffee Cake,"Mix sugar and shortening.  Add flour and salt until it crumbles.  Put aside 1/2 cup of this mixture for topping.  Add egg to remainder.  Add soda and baking powder to sour milk, then mix everything together.  Sprinkle crumbs on top.  (Optional: Sprinkle cinnamon and ground nuts on top.)  Bake for 35 minutes in a 9-inch cake pan or pie plate.",50,1
Beer Biscuits,Dissolve sugar in beer and add to biscuit mix.  Mix and bake in accordance with directions on biscuit mix container.,100,4
Baked Spaghetti,"In a large skillet, saute onion and green pepper in butter until tender.  Add tomatoes, mushrooms, olives and oregano.  Add ground beef if desired.  Simmer uncovered for 10 minutes.  Place half of the spaghetti in a greased 13 x 9 x 2-inch baking dish. Top with half of the vegetable mixture.  Sprinkle with 1 cup Cheddar cheese.  Repeat layers.",25,1
Easy Apple Dumplings,"Peel, cut apples into quarters.  Roll out biscuits.  Cut each in half.  Put 1 quarter apple in each biscuit half.  Fold dough over apple, place in a buttered sheet pan or large casserole dish. Mix next 5 ingredients; pour over dumplings, cut butter over top. Bake in a 350 oven until apples are done.  Take from oven, baste and continue baking until golden brown.  May be served with Cool Whip.  Yields 8 to 10 portions.",45,3
Twinkie Dessert,Line bottom of 13x9 pan with Twinkies.  Mix jello with hot water and stir until dissolved. Add strawberries and pour over Twinkies.  Let set for 30 minutes or more.  Mix pudding as directed and pour over Twinkies and jello.  Cover with Cool Whip and decorate with more strawberries if desired.,100,3
